# srcdslab GitHub org - full repository list (293 repos) enumerated 2026-08-19 from https://github.com/orgs/srcdslab/repositories?page=N&type=all
# Columns: name | last updated | description
# grep for match|pug|mix|war|ready|knife|scrim|competitive|deathmatch|gungame|respawn|restrict|retake: NO match/PUG/mix repo exists (hits are KnifeMode, KnockbackRestrict, TeamManager(warmup), WeaponCleaner, BotManager, etc.)

ExtremeInjector | 2026-08-18T12:33:04.597Z | 
HandleDumpParser | 2026-08-18T12:34:38.870Z | Parser for sourcemod handle dumps
SM-SteamWorks | 2026-08-18T12:18:45.200Z |  Exposing SteamWorks functions to SourcePawn. 
ZE-Elite | 2026-08-18T12:34:23.699Z | CS:S v91 cheat program
action-ambuild | 2026-08-18T12:38:51.041Z | Build alliedmodders extensions with ambuild
ambuild | 2026-08-18T12:36:02.409Z | AlliedModders C++ Build System
autofastdl | 2026-08-18T13:09:44.109Z | Automates the fastdl process for steam games
ci-workflows | 2026-08-18T12:21:07.410Z | Shared CI Workflow for organization projects
cstrike15_src | 2026-08-18T12:40:41.390Z | Leak of CS:GO Source code, provided by yours truly so go rep me
docker-sourceknight | 2026-08-18T12:10:47.276Z | Docker image for sourceknight
docker-srcds | 2026-08-18T13:12:36.582Z | Run source engine games in docker
docker-srcds-pterodactyl | 2026-08-18T12:11:51.814Z | Generic docker containers designed to run source engine games in pterodactyl
ebans-web | 2026-08-18T12:41:20.984Z | Ebans website for the EntWatch plugin
helm-charts | 2026-08-18T23:34:40.923Z | Helm Charts
hl2sdk | 2026-08-18T12:43:05.760Z | Half-Life 2 SDK Mirrors
hlstatsx | 2026-08-18T12:43:52.024Z | HLstatsX Community Edition - PHP 7 and GeoIP2 supported
kbans-web | 2026-08-18T12:44:32.195Z | KBans website for the KnockbackRestrict plugin
logo-resources | 2026-08-18T12:45:05.247Z | Resources used to create the logo
metamod-source | 2026-08-18T12:56:21.779Z | Metamod:Source - C++ Plugin Environment and Detour Library for the Source Engine
mm-ext-CS2Fixes | 2026-08-18T12:32:22.432Z | S2ZE modding experiments
mm-ext-createedictfixer | 2026-08-18T12:00:07.040Z | Ensure no edicts are left unused before going into the higher indexes
mm-ext-playerlimitremover | 2026-08-18T12:33:02.406Z | Set any number from 1 to 255 for your srcds +maxplayers setting
mm-ext-stripper | 2026-08-18T12:33:33.676Z | Stripper:Source
mm-ext-voice | 2023-10-14T11:22:05.568Z | Inject voice data over existing clients
pterodactyl-eggs | 2026-08-18T12:34:52.338Z | Pterodactyl eggs
reverse-engineering-resources | 2026-08-18T12:35:49.705Z | Compilation of useful resources to reverse engineer
setup-sp | 2026-08-18T12:36:21.362Z | This action sets-up, cache and adds sourcemod scripting directory to the path
sm-ext-PhysHooks | 2026-08-18T12:04:40.430Z | Hooks, forwards and natives for LagCompensation, etc.
sm-ext-SMJansson | 2026-08-18T12:36:55.234Z | A SourceMod extension, wrapping Jansson, a C library for encoding, decoding and manipulating JSON data.
sm-ext-SteamWorks | 2023-04-22T11:11:18.297Z | Exposing SteamWorks functions to SourcePawn.
sm-ext-TransmitManager | 2026-08-18T12:37:26.654Z | Hook SetTransmit
sm-ext-a2sqcache | 2026-08-18T12:07:09.741Z | Cache steam a2s queries
sm-ext-accelerator | 2026-08-18T12:38:06.610Z | Community Crash Reporting for SRCDS
sm-ext-asyncsocket | 2026-08-18T12:08:15.787Z | Async socket extension for SourceMod using libuv.
sm-ext-cleaner | 2026-08-18T12:08:47.506Z | Console warning suppressor
sm-ext-common | 2026-08-18T12:38:42.233Z | Extension helper functions
sm-ext-connect | 2026-08-18T12:09:59.028Z | 
sm-ext-cssfixes | 2026-08-18T12:10:31.898Z | Patch CS:S bugs
sm-ext-curl | 2026-08-18T12:39:24.547Z | A cURL extension in Sourcemod
sm-ext-eventqueue | 2025-09-03T04:52:37.613Z | Sourcemod extension that provides interface to entity events queue
sm-ext-outputinfo | 2026-08-18T12:11:37.457Z | Read entity outputs
sm-ext-physhooks-old | 2026-08-18T13:12:43.831Z | 
sm-ext-ripext | 2026-08-18T12:33:25.122Z | SourceMod REST in Pawn Extension
sm-ext-sendsnapshotfixer | 2026-08-18T12:33:33.160Z | Fixes the currently messed up sv_parallel_sendsnapshot
sm-ext-socket | 2026-08-18T12:34:06.619Z | This extension provides networking functionality for SourceMod scripts.
sm-ext-sourcetvmanager | 2025-02-20T18:44:33.012Z | Interface to interact with the SourceTV server from SourcePawn.
sm-ext-voice | 2026-08-18T12:34:12.369Z | Inject voice data over existing clients
sm-plugin-AFKManager | 2026-08-18T12:34:19.917Z | Manage AFK players
sm-plugin-AdminHelper | 2026-08-18T12:35:54.189Z | Helper functions related to admins
sm-plugin-AdminLogging | 2026-08-18T12:24:09.451Z | Admin logs saved to Discord
sm-plugin-AdminRoom | 2026-08-18T11:55:47.553Z | Teleport players to admin rooms and change stages
sm-plugin-AdvancedAdminList | 2026-08-18T15:30:47.145Z | Advanced sourcemod admin list
sm-plugin-AdvancedAutoRetry | 2022-08-22T16:04:30.376Z | A toggleable auto retry system for custom particles that only retries players when actually necessary
sm-plugin-AdvancedTargeting | 2026-08-18T12:44:55.653Z | Target specific groups of players
sm-plugin-AlwaysWeaponSkins | 2021-08-03T10:04:51.119Z | Allow players to purchase weapons from the opposite team
sm-plugin-AntiBhopCheat | 2026-08-18T12:26:15.048Z | Player bhop analysis
sm-plugin-AntiBhopCheat-discord | 2026-08-18T12:47:44.870Z | AntiBhopCheat detections notifications to discord
sm-plugin-AntiFlood | 2026-08-18T12:25:02.055Z | Manage players flooding the server with commands
sm-plugin-AntiJumpSpam | 2026-08-18T12:27:56.366Z | Prevents players from spamming jump
sm-plugin-AutoRecorder | 2026-08-18T12:26:50.306Z | Automates SourceTV recording
sm-plugin-BSPConVarWhitelist | 2023-03-23T18:39:17.065Z | Changes the file that CS:GO reads the BSP cvar whitelist from
sm-plugin-BanDisconnected | 2022-08-22T16:33:44.660Z | Ban Disconnected Players
sm-plugin-Basic | 2026-08-18T12:37:05.655Z | Dynamic methodmap to use it like a class
sm-plugin-BlockerPasses | 2026-08-18T12:46:46.413Z | Spawn props to block map zones
sm-plugin-BoostAlert | 2026-08-18T12:47:12.581Z | Player knockback notification system
sm-plugin-BoostAlert-discord | 2026-08-18T12:46:55.602Z | 
sm-plugin-BossHP | 2026-08-18T12:47:20.127Z | Advanced management of entities
sm-plugin-BossHUD | 2026-08-18T12:32:52.622Z | Display health for boss and breakable entities
sm-plugin-BotManager | 2026-08-18T12:32:49.363Z | Manage bot names, ping and weapon restrictions
sm-plugin-ByteBuffer | 2026-08-18T12:33:21.426Z | Allows you to create byte-array buffers
sm-plugin-CIDR | 2026-08-18T12:34:18.656Z | IP range ban
sm-plugin-CIDR-Discord | 2026-08-18T12:24:39.082Z | 
sm-plugin-CallAdmin | 2026-08-18T12:26:55.913Z | Send a calladmin message to discord
sm-plugin-CancelKnife | 2026-08-18T12:24:28.883Z | Reverts the effects of a zombie knife, restoring infected humans and resetting zombie positions
sm-plugin-CashManager | 2026-08-18T12:26:08.276Z | Manage player money
sm-plugin-ColorCorrectionController | 2022-08-22T17:13:16.620Z | 
sm-plugin-CommandBlocker | 2026-08-18T12:35:11.584Z | Block commands
sm-plugin-CommandHelper | 2026-08-18T12:24:20.326Z | Generate a markdown of all sourcemod commands
sm-plugin-ConVarEnforcer | 2026-08-18T12:34:59.877Z | Enforce server convars to prevent maps from changing theirs
sm-plugin-ConVarSuppression | 2026-08-18T12:25:14.574Z | Suppress a convar from displaying changes to players
sm-plugin-ConnectAnnounce | 2026-08-18T12:27:58.818Z | Connection announcer
sm-plugin-ConsoleChatManager | 2026-08-18T12:39:38.444Z | Administrate the console chat from the map and multilanguage console chat support
sm-plugin-CountryTags | 2026-08-18T12:26:19.581Z | Assign clan tags and flags based on player country
sm-plugin-CustomChatColors | 2026-08-18T12:28:42.176Z | Processes chat to provide colors, custom tags and more
sm-plugin-Decapitation | 2026-08-18T12:35:53.778Z | Remove head or legs from a player model
sm-plugin-DevZones | 2026-08-18T12:25:43.493Z | Plugin for create zones and using natives for create third-party plugins easily
sm-plugin-DisableGrenadeSmoke | 2022-08-21T13:19:48.362Z | Disable smoke created from HE grenades
sm-plugin-Discord | 2022-11-27T16:25:25.927Z | 
sm-plugin-DiscordWebhookAPI | 2026-08-18T12:36:27.953Z | An include featuring a well documented, complete wrapper of the Discord Webhook API written in SourcePawn using methodmaps and the RIPExt extension.
sm-plugin-Dissolve | 2026-08-18T12:36:57.562Z | Dissolve effect on dead bodies
sm-plugin-DynamicChannels | 2026-08-18T12:01:14.743Z | Automatic game_text channel assignment for server plugins that avoids map channels
sm-plugin-EnableFullTalk | 2022-08-21T13:23:39.539Z | Set sv_full_alltalk 1 on map start
sm-plugin-EntWatch | 2026-08-18T12:34:59.826Z | Entity watcher that helps with item management
sm-plugin-EntWatch-Discord | 2026-08-18T12:03:35.570Z | EntWatch notifications to discord
sm-plugin-EntWatch-Maker | 2026-08-18T12:46:52.757Z | Can be used to create a basic EntWatch config for a map
sm-plugin-EntWatch-old | 2023-02-26T19:03:12.727Z | Entity watcher that helps with item management
sm-plugin-EntityOutputInfo | 2026-08-18T12:39:10.419Z | Read entity outputs and manipulation API
sm-plugin-Events | 2022-08-12T17:26:27.758Z | Core event system
sm-plugin-Extend | 2026-08-18T12:25:05.961Z | Extend map time
sm-plugin-Extended-Discord | 2026-08-18T12:45:02.206Z | Usefull functions for discordWebhookAP
sm-plugin-ExtraCommands | 2026-08-18T12:45:18.296Z | Extra admin commands
sm-plugin-FakeClients | 2026-08-18T12:25:37.412Z | Create fake clients
sm-plugin-FamilyShareManager | 2026-08-18T12:46:21.850Z | Manage players that have their game shared by another steam account
sm-plugin-FireCustomizer | 2026-08-18T12:37:55.366Z | Precache custom fire particles
sm-plugin-FixAmmoBox | 2022-08-21T13:25:35.964Z | 
sm-plugin-FixArms | 2021-01-22T14:52:38.344Z | Fixes arms and gloves
sm-plugin-FixBumpWeapon | 2022-08-21T13:27:18.193Z | 
sm-plugin-FixConVarsAnomaly | 2026-08-18T12:38:25.590Z | 
sm-plugin-FixConnectionExploit | 2026-08-18T12:28:44.866Z | 
sm-plugin-FixDuck | 2026-08-18T12:38:59.849Z | 
sm-plugin-FixFuncRotating | 2026-08-18T12:28:10.381Z | 
sm-plugin-FixGameUI | 2026-08-18T12:25:36.390Z | Fixes game_ui entity bug
sm-plugin-FixGameVersion | 2026-03-02T18:32:25.775Z | Allows all client game versions
sm-plugin-FixHintColorMessages | 2022-08-21T13:19:34.015Z | 
sm-plugin-FixHintDollar | 2022-08-21T13:22:27.669Z | 
sm-plugin-FixHostTimeScale | 2026-08-18T12:26:02.014Z | Block host_timescale bug from crashing your server
sm-plugin-FixLadderGravity | 2025-05-22T21:20:24.199Z | 
sm-plugin-FixLagExploit | 2026-08-18T12:39:43.195Z | 
sm-plugin-FixMapChange | 2026-08-18T12:40:15.266Z | 
sm-plugin-FixMemoryLeak | 2026-08-18T12:47:02.376Z | Restart your server at given times to avoid memory leaks from crashing the server
sm-plugin-FixNapalmLag | 2026-08-18T12:02:58.188Z | 
sm-plugin-FixNetPublicAdr | 2026-08-18T12:03:11.280Z | Add/Edit convar net_public_adr for servers behind NAT/DHCP
sm-plugin-FixPanorama | 2022-08-21T13:20:46.944Z | 
sm-plugin-FixParticleSystem | 2022-08-21T13:21:30.247Z | 
sm-plugin-FixPlayerEquip | 2026-08-18T12:03:24.379Z | 
sm-plugin-FixPointViewControl | 2026-08-18T12:03:20.441Z | 
sm-plugin-FixRNG | 2026-08-18T12:03:38.997Z | A SourceMod plugin for movement game modes
sm-plugin-FixRPTExploit | 2026-08-18T12:23:38.010Z | 
sm-plugin-FixSendFileExploit | 2024-07-31T07:42:48.316Z | 
sm-plugin-FixServerLagExploit | 2026-08-18T12:34:32.634Z | 
sm-plugin-FixSprayExploit | 2026-08-18T12:25:58.320Z | 
sm-plugin-FixSpriteRenderMode | 2026-08-18T12:35:07.769Z | 
sm-plugin-FixSvGravity | 2026-08-18T12:24:53.368Z | 
sm-plugin-FixTriggerPush | 2022-08-21T13:18:36.301Z | 
sm-plugin-FixUpdateRadar | 2026-08-18T12:28:24.581Z | 
sm-plugin-FixVoiceDataExploit | 2026-08-18T12:25:24.765Z | Punishes players who are overflowing voice data to crash the server
sm-plugin-FixesCSGO | 2023-03-02T14:01:58.928Z | Various fixes for CS:GO
sm-plugin-FixesCSGO-old | 2022-08-21T13:18:50.793Z | 
sm-plugin-Flashlight | 2026-08-18T12:24:49.080Z | Replaces +lookatweapon with a toggleable flashlight
sm-plugin-ForceInputs | 2026-08-18T12:43:34.734Z | Force inputs on entities (ent_fire)
sm-plugin-ForcedName | 2024-07-05T14:48:19.450Z | Set custom player names
sm-plugin-FullUpdate | 2026-08-18T12:26:59.737Z | Client side fullupdate
sm-plugin-FunModes | 2026-08-18T14:36:19.486Z | Funny game modes
sm-plugin-GlowColors | 2026-08-18T12:27:46.310Z | Change player skin colors
sm-plugin-GrenadeManager | 2026-08-18T12:36:25.479Z | Manage grenade cost, count on spawn, vip extras
sm-plugin-GrenadeTweaks | 2026-08-18T12:36:57.260Z | Removes smoke particles & audio ringing from HE grenade explosions
sm-plugin-HUDLimitIncreaser | 2026-08-18T12:27:48.091Z | Increase HUD limits for money, heath, armor and ammo
sm-plugin-HideKnife | 2026-08-18T12:33:08.933Z | Makes the knives being held by zombies disappear so they don't look like gangsta muggers
sm-plugin-HideTeammates | 2026-08-18T12:25:52.554Z | Hide players based on individual distances
sm-plugin-HitMarker | 2026-08-18T12:24:08.483Z | Display a hitmarker when you hit a target
sm-plugin-HitboxChanger | 2026-08-18T12:34:24.619Z | Sourcemod extension to modify model hitboxes from memory
sm-plugin-KnifeAlert | 2024-01-14T14:29:07.093Z | Player knife notification system
sm-plugin-KnifeMode | 2026-08-18T12:45:45.928Z | Kill players with knife
sm-plugin-KnockbackRestrict | 2026-08-18T12:35:18.298Z | Restrict players from using knockback weapons
